,value,numBigOnes,aveNumExprEvaluated,aveNumSolutions,aveSolveTimeSec
480,220,1,16434.7,61.6,0.1705475330352783
481,220,2,22030.1,62.9,0.2311563491821289
482,220,3,26659.2,35.8,0.255759596824646
483,220,4,27444.0,49.2,0.2629586696624756
484,221,1,16143.5,49.6,0.1733975887298584
485,221,2,24100.5,66.6,0.236788010597229
486,221,3,28322.8,39.5,0.26073949337005614
487,221,4,27136.4,20.7,0.2642462730407715
488,222,1,17492.4,54.3,0.1798767328262329
489,222,2,18500.5,44.5,0.17959063053131102
490,222,3,26642.3,26.8,0.24742333889007567
491,222,4,27186.2,21.2,0.2627997636795044
492,223,1,13079.4,40.5,0.1405639410018921
493,223,2,23825.6,49.4,0.23765771389007567
494,223,3,27864.3,41.8,0.25780606269836426
495,223,4,31106.4,28.1,0.28657410144805906
496,224,1,16068.5,70.3,0.16439883708953856
497,224,2,21345.6,57.4,0.1948068380355835
498,224,3,30205.4,54.4,0.2816514730453491
499,224,4,29716.2,34.6,0.27271864414215086
500,225,1,18148.8,119.0,0.18488829135894774
501,225,2,20476.2,151.8,0.20029592514038086
502,225,3,28880.2,156.8,0.2622412443161011
503,225,4,29671.5,199.3,0.27850229740142823
504,226,1,12562.4,33.1,0.13152847290039063
505,226,2,24500.9,47.6,0.23368349075317382
506,226,3,28154.6,40.0,0.2629732847213745
507,226,4,28858.4,37.8,0.27892179489135743
508,227,1,14711.5,41.7,0.16102774143218995
509,227,2,24455.8,56.3,0.23023371696472167
510,227,3,30024.7,51.7,0.2811479330062866
511,227,4,28950.0,43.2,0.27698168754577634
512,228,1,15772.0,46.5,0.16347715854644776
513,228,2,22489.8,40.4,0.21479449272155762
514,228,3,29085.6,68.7,0.27344019412994386
515,228,4,28093.6,31.6,0.2710274696350098
516,229,1,19311.8,40.4,0.2035435199737549
517,229,2,22562.8,41.7,0.20825722217559814
518,229,3,29449.6,50.8,0.28577888011932373
519,229,4,27471.7,34.1,0.2601034641265869
520,230,1,16456.3,39.6,0.16967668533325195
521,230,2,26149.2,57.8,0.2446228265762329
522,230,3,29398.7,43.6,0.2735121488571167
523,230,4,28826.2,51.6,0.27641193866729735
524,231,1,16560.1,48.1,0.17100162506103517
525,231,2,22623.9,56.8,0.2122136354446411
526,231,3,27188.6,31.2,0.25031261444091796
527,231,4,30744.5,31.3,0.29238708019256593
528,232,1,17493.7,52.2,0.18498847484588624
529,232,2,18484.7,46.6,0.2040792465209961
530,232,3,27543.9,43.9,0.2629281282424927
531,232,4,29701.0,29.8,0.29298527240753175
532,233,1,13530.0,41.4,0.15378973484039307
533,233,2,26910.8,51.6,0.2519012689590454
534,233,3,26349.9,42.8,0.2504328727722168
535,233,4,28061.2,17.4,0.2740170478820801
536,234,1,16140.3,54.2,0.16933033466339112
